order_id,order_date,customer_id,region,category,product,quantity,unit_price,total_amount,payment_method
10420,2025-01-22,CUST-033,Medan,Sports,Resistance Band,3,144000,432000,Bank Transfer
10390,2025-01-23,CUST-051,Surabaya,Electronics,Smart Watch,2,1164000,2328000,COD
10211,2025-01-24,CUST-057,Bandung,Home,Table Lamp,1,369000,369000,E-Wallet
10030,2025-02-01,CUST-017,Jakarta,Home,Ceramic Mug Set,1,174000,174000,Credit Card
10404,2025-02-02,CUST-040,Jakarta,Electronics,Smart Watch,1,1348000,1348000,E-Wallet
10401,2025-02-07,CUST-010,Makassar,Electronics,Wireless Earbuds,3,465000,1395000,Credit Card
10395,2025-02-15,CUST-033,Jakarta,Electronics,Smart Watch,1,1130000,1130000,Credit Card
10106,2025-02-18,CUST-044,Surabaya,Sports,Resistance Band,1,146000,146000,COD
10085,2025-02-23,CUST-018,Surabaya,Electronics,Wireless Earbuds,5,465000,2325000,Bank Transfer
10203,2025-02-28,CUST-027,Jakarta,Beauty,Face Serum,1,261000,261000,COD
10171,2025-03-05,CUST-056,Surabaya,Home,Cotton Bedsheet,1,549000,549000,E-Wallet
10369,2025-03-07,CUST-031,Makassar,Beauty,Lip Balm,2,59000,118000,Credit Card
10170,2025-03-11,CUST-026,Makassar,Electronics,Wireless Earbuds,1,432000,432000,E-Wallet
10006,2025-03-12,CUST-056,Jakarta,Electronics,Bluetooth Speaker,5,728000,3640000,E-Wallet
10136,2025-03-12,CUST-014,Surabaya,Fashion,Denim Jacket,1,383000,383000,E-Wallet
10297,2025-03-12,CUST-011,Bandung,Home,Storage Box,1,103000,103000,
10419,2025-03-13,CUST-043,Surabaya,Home,Ceramic Mug Set,2,183000,366000,COD
10195,2025-03-14,CUST-007,Bandung,Fashion,Leather Belt,1,189000,189000,E-Wallet
10024,2025-03-16,CUST-055,Jakarta,Beauty,Face Serum,4,287000,1148000,COD
10335,2025-03-16,CUST-002,Bandung,Beauty,Hair Oil,3,174000,522000,E-Wallet
10412,2025-03-16,CUST-030,Bandung,Electronics,Power Bank,1,303000,303000,Credit Card
10356,2025-03-18,CUST-060,Surabaya,Fashion,Running Shoes,1,758000,758000,E-Wallet
10027,2025-03-21,CUST-055,Jakarta,Home,Table Lamp,1,340000,340000,Bank Transfer
10340,2025-03-21,CUST-011,Jakarta,Beauty,Lip Balm,2,71000,142000,E-Wallet
10234,2025-03-23,CUST-032,Jakarta,Beauty,Sunscreen SPF50,2,146000,292000,COD
10373,2025-03-26,CUST-057,Surabaya,Home,Storage Box,1,101000,101000,Bank Transfer
10276,2025-03-27,CUST-007,Surabaya,Electronics,Wireless Earbuds,1,435000,435000,Bank Transfer
10247,2025-03-28,CUST-040,Surabaya,Electronics,Smart Watch,1,1218000,1218000,COD
10303,2025-03-28,CUST-041,Surabaya,Home,Table Lamp,1,355000,355000,COD
10020,2025-03-29,CUST-060,Medan,Electronics,Power Bank,1,296000,296000,Bank Transfer
10083,2025-03-30,CUST-059,Jakarta,Electronics,Bluetooth Speaker,2,724000,1448000,E-Wallet
10138,2025-03-30,CUST-005,Medan,Beauty,Face Serum,1,262000,262000,COD
10124,2025-03-31,CUST-041,Surabaya,Electronics,Smart Watch,1,1193000,1193000,COD
10065,2025-04-02,CUST-055,Surabaya,Home,Table Lamp,1,358000,358000,Credit Card
10365,2025-04-03,CUST-054,Surabaya,Home,Table Lamp,5,348000,1740000,Credit Card
10252,2025-04-06,CUST-007,Medan,Sports,Water Bottle,2,95000,190000,Bank Transfer
10311,2025-04-06,CUST-021,Bandung,Electronics,Smart Watch,5,1163000,5815000,Credit Card
10358,2025-04-08,CUST-011,Surabaya,Sports,Resistance Band,1,131000,131000,COD
10366,2025-04-08,CUST-059,Medan,Home,Cotton Bedsheet,3,522000,1566000,COD
10140,2025-04-09,CUST-006,Bandung,Sports,Dumbbell 5kg,1,421000,421000,E-Wallet
10261,2025-04-09,CUST-027,Bandung,Home,Cotton Bedsheet,3,469000,1407000,Bank Transfer
10034,2025-04-11,CUST-009,Surabaya,Fashion,Cotton T-Shirt,1,124000,124000,COD
10048,2025-04-11,CUST-013,Jakarta,Beauty,Sunscreen SPF50,2,140000,280000,COD
10133,2025-04-11,CUST-024,Jakarta,Home,Storage Box,1,91000,91000,Credit Card
10117,2025-04-15,CUST-008,Makassar,Home,Cotton Bedsheet,1,496000,496000,Credit Card
10004,2025-04-16,CUST-052,Jakarta,Fashion,Cotton T-Shirt,3,131000,393000,Credit Card
10288,2025-04-16,CUST-029,Jakarta,Sports,Dumbbell 5kg,1,472000,472000,Credit Card
10332,2025-04-16,CUST-015,Jakarta,Sports,Yoga Mat,1,293000,293000,E-Wallet
